Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen
1;5;1;ManuelNeuer;Deutschland;34;0;0
2;5;26;SvenUlreich;Deutschland;3;0;0
3;5;36;ChristianFruchtl;Deutschland;0;0;0
4;5;39;RonThorbenHoffmann;Deutschland;0;0;0
5;5;32;JoshuaKimmich;Deutschland;36;2;12
6;5;27;DavidAlaba;Österreich;33;2;4
7;5;4;NiklasSüle;Deutschland;31;1;0
8;5;5;MatsHummels;Deutschland;23;1;1
9;5;17;JeromeBoateng;Deutschland;23;0;1
10;5;13;Rafinha;Brasilien;21;1;1
11;5;33;LukasMai;Deutschland;0;0;0
12;5;23;JonathanMeier;Deutschland;0;0;0
13;5;25;ThomasMüller;Deutschland;33;7;9
14;5;18;LeonGoretzka;Deutschland;31;6;4
15;5;6;Thiago;Spanien;30;2;5
16;5;7;FranckRibery;Frankreich;29;5;3
17;5;8;JaviMartinez;Spanien;26;3;0
18;5;11;James;Kolumbien;23;7;5
19;5;35;RenatoSanches;Portugal;21;1;1
20;5;10;ArjenRobben;Niederlande;14;5;1
21;5;24;CorentinTolisso;Frankreich;3;1;0
22;5;9;RobertLewandowski;Polen;35;27;8
23;5;22;SergeGnabry;Deutschland;31;9;4
24;5;29;KingsleyComan;Frankreich;18;5;1
25;5;20;Woo-yeongJeong;Republik Korea (Südkorea);2;0;0
26;1;1;RomanBürki;Schweiz;33;0;0
27;1;35;MarwinHitz;Schweiz;3;0;0
28;1;40;EricOelschlägel;Deutschland;1;0;0
29;1;25;LucaUnbehaun;Deutschland;0;0;0
30;1;4;AbdouDiallo;Frankreich;32;1;1
31;1;5;AchrafHakimi;Marokko;27;3;7
32;1;13;RaphaelGuerreiro;Portugal;26;6;5
33;1;26;LukaszPiszczek;Polen;23;1;6
34;1;16;ManuelAkanji;Schweiz;23;1;0
35;1;2;DanAxelZagadou;Frankreich;19;2;0
36;1;36;ÖmerToprak;Türkei;12;0;0
37;1;29;MarcelSchmelzer;Deutschland;11;0;1
38;1;18;LeonardoBalerdi;Argentinien;0;0;0
39;1;28;AxelWitsel;Belgien;35;5;1
40;1;6;ThomasDelaney;Dänemark;30;2;2
41;1;10;MarioGötze;Deutschland;26;4;6
42;1;22;ChristianPulisic;Unbekannt;25;5;4
43;1;34;JacobBruunLarsen;Dänemark;24;3;2
44;1;19;MahmoudDahoud;Deutschland;18;1;0
45;1;33;JulianWeigl;Deutschland;17;1;0
46;1;27;MariusWolf;Deutschland;17;1;0
47;1;17;SergioGomez;Spanien;1;0;0
48;1;7;JadonSancho;England;35;9;14
49;1;11;MarcoReus;Deutschland;31;19;8
50;1;9;PacoAlcacer;Spanien;26;15;2
51;1;20;MaximilianPhilipp;Deutschland;20;2;3
52;4;1;PeterGulacsi;Ungarn;30;0;0
53;4;28;YvonMvogo;Schweiz;11;0;0
54;4;32;JulianKrahl;Deutschland;0;0;0
55;4;6;IbrahimaKonate;Frankreich;33;3;1
56;4;16;LukasKlostermann;Deutschland;32;3;2
57;4;4;WilliOrban;Ungarn;30;4;1
58;4;23;MarcelHalstenberg;Deutschland;27;1;8
59;4;22;NordiMukiele;Frankreich;21;0;0
60;4;5;DayotUpamecano;Frankreich;20;0;0
61;4;3;MarceloSaracchi;Uruguay;19;0;0
62;4;5;AtincNukan;Türkei;0;0;0
63;4;31;DiegoDemme;Deutschland;34;0;2
64;4;27;KonradLaimer;Österreich;32;2;2
65;4;44;KevinKampl;Slowenien;31;2;7
66;4;13;StefanIlsanker;Österreich;31;0;0
67;4;14;TylerAdams;Unbekannt;9;0;1
68;4;40;ErikMajetschak;Deutschland;2;0;0
69;4;26;NiclasStierlin;Deutschland;2;0;0
70;4;8;AmadouHaidara;Mali;1;0;0
71;4;53;TomKrauss;Deutschland;0;0;0
72;4;34;NoadMekonnen;Deutschland;0;0;0
73;4;43;MaxWinter;Deutschland;0;0;0
74;4;9;YussufPoulsen;Dänemark;36;15;5
75;4;20;MatheusCunha;Brasilien;32;8;0
76;4;29;Jean-KevinAugustin;Frankreich;29;8;1
77;4;11;TimoWerner;Deutschland;27;14;3
78;4;17;Bruma;Portugal;25;3;3
79;4;10;EmilForsberg;Schweden;19;3;3
80;4;0;EmreAslan;Türkei;0;0;0
81;4;42;NoahJeanHolm;Norwegen;0;0;0
